Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
GCAM 7.0,D3_NG_PriceShock,China,energy-investment,M$(2010)/yr,138683,170312,885424,1164097,1595040,1451325,1759078,1415195,1448446,1448082,1355010
GCAM 7.0,D3_NG_PriceShock,China,energy-service,M$(2010)/yr,1649340,2885009,4418453,5339190,5072157,5035902,5228987,5207260,5001967,4836003,4603305
GCAM 7.0,D3_NG_PriceShock,Colombia,energy-investment,M$(2010)/yr,3880,6223,8871,15102,38952,27388,26163,30277,32146,34519,34215
GCAM 7.0,D3_NG_PriceShock,Colombia,energy-service,M$(2010)/yr,54330,69703,97523,118025,140539,180101,225402,256935,281066,298329,309413
GCAM 7.0,D3_NG_PriceShock,EU-12,energy-investment,M$(2010)/yr,13203,13704,59796,87327,94601,89674,91991,71311,77629,88692,69692
GCAM 7.0,D3_NG_PriceShock,EU-12,energy-service,M$(2010)/yr,454643,547456,572949,577381,579079,566366,572583,562017,549327,539534,529150
GCAM 7.0,D3_NG_PriceShock,EU-15,energy-investment,M$(2010)/yr,72496,85220,222501,334600,399947,398659,403639,355349,421835,429845,372896
GCAM 7.0,D3_NG_PriceShock,EU-15,energy-service,M$(2010)/yr,3231483,3399419,3369509,3434756,3563079,3664999,3793706,3803208,3827122,3842019,3802156
GCAM 7.0,D3_NG_PriceShock,Europe_Eastern,energy-investment,M$(2010)/yr,5357,3493,21719,22450,29650,35466,35954,39593,43841,44599,45467
GCAM 7.0,D3_NG_PriceShock,Europe_Eastern,energy-service,M$(2010)/yr,174442,195604,178840,159040,169849,202835,231120,259774,276559,296320,311306
GCAM 7.0,D3_NG_PriceShock,Europe_Non_EU,energy-investment,M$(2010)/yr,4618,5208,40549,58448,57598,69718,65431,56918,66718,69605,62076
GCAM 7.0,D3_NG_PriceShock,Europe_Non_EU,energy-service,M$(2010)/yr,220709,273179,455825,634974,660123,673195,715694,731403,733791,732818,732232
GCAM 7.0,D3_NG_PriceShock,European Free Trade Association,energy-investment,M$(2010)/yr,49612,54285,52733,90355,102877,101201,114641,112631,126026,127568,124818
GCAM 7.0,D3_NG_PriceShock,European Free Trade Association,energy-service,M$(2010)/yr,714954,748720,809143,834674,880935,922675,1018725,1067596,1106148,1133519,1150288
GCAM 7.0,D3_NG_PriceShock,India,energy-investment,M$(2010)/yr,29863,29013,192032,419135,428253,499153,587408,613047,596678,626589,641551
GCAM 7.0,D3_NG_PriceShock,India,energy-service,M$(2010)/yr,345359,577960,910806,1493015,1798757,2143913,2522468,2807537,3026942,3176941,3262879
GCAM 7.0,D3_NG_PriceShock,Indonesia,energy-investment,M$(2010)/yr,43839,34867,70752,110398,149843,124146,156902,136472,131192,129791,140721
GCAM 7.0,D3_NG_PriceShock,Indonesia,energy-service,M$(2010)/yr,187354,249286,390585,508789,551364,626130,696878,727611,757881,779329,787702
GCAM 7.0,D3_NG_PriceShock,Japan,energy-investment,M$(2010)/yr,28904,13979,134764,224034,236240,269503,251758,258276,262614,262193,253209
GCAM 7.0,D3_NG_PriceShock,Japan,energy-service,M$(2010)/yr,1198622,1229127,1150074,1145288,1139453,1105101,1147191,1108468,1066552,1030477,1011269
GCAM 7.0,D3_NG_PriceShock,Mexico,energy-investment,M$(2010)/yr,4716,5871,42812,77449,91512,101051,113147,114822,119507,121991,122684
GCAM 7.0,D3_NG_PriceShock,Mexico,energy-service,M$(2010)/yr,326126,417148,447495,535187,621866,728442,828260,883627,923886,956905,968982
